Software Name,Official Download Link,Affiliate Search Key,Category,Latest Version,License Link,Notes
Notepad++,https://notepad-plus-plus.org/downloads/,notepad++ affiliate program,Editor,TBD,https://notepad-plus-plus.org/legal/,Text editor for Windows
Sublime Text,https://www.sublimetext.com/3,sublime affiliate program,Editor,TBD,https://www.sublimetext.com/legal,Proprietary text editor
Visual Studio Code,https://code.visualstudio.com/download,microsoft affiliate program,Editor,TBD,https://code.visualstudio.com/license,Open-source editor
Visual Studio,https://visualstudio.microsoft.com/vs/,microsoft affiliate program,IDE,TBD,https://visualstudio.microsoft.com/license-terms/,IDE suite
Git,https://git-scm.com/downloads,git affiliate program,Dev Tools,TBD,https://git-scm.com/about/licenses,Version control
GitHub Desktop,https://desktop.github.com/,github affiliate program,Dev Tools,TBD,https://docs.github.com/en/site-policy/github-terms/github-terms-of-service,Git GUI
Postman,https://www.postman.com/downloads/,postman affiliate program,Dev Tools,TBD,https://www.postman.com/legal/terms/,API development
Thunderbird,https://www.thunderbird.net/,thunderbird affiliate program,Email,TBD,https://www.thunderbird.net/en-US/foundation/,Email client
Bitwarden,https://bitwarden.com/download/,bitwarden affiliate program,Security,TBD,https://bitwarden.com/help/license/,Password manager
LastPass,https://www.lastpass.com/download,lastpass affiliate program,Security,TBD,https://www.lastpass.com/legal,Password manager
Malwarebytes,https://www.malwarebytes.com/,malwarebytes affiliate program,Security,TBD,https://www.malwarebytes.com/legal/,Antimalware
Avast Free Antivirus,https://www.avast.com/free-antivirus-download,avast affiliate program,Security,TBD,https://www.avast.com/eula,Antivirus
Bitdefender Free,https://www.bitdefender.com/solutions/free.html,bitdefender affiliate program,Security,TBD,https://www.bitdefender.com/consumer/legal/,Antivirus
CCleaner,https://www.ccleaner.com/ccleaner/download,ccleaner affiliate program,System,TBD,https://www.ccleaner.com/privacy,Cleanup utility
VirtualBox,https://www.virtualbox.org/wiki/Downloads,oracle affiliate program,Virtualization,TBD,https://www.virtualbox.org/wiki/VirtualBox_PUEL,Virtualization
VMware Workstation Player,https://www.vmware.com/products/workstation-player/workstation-player-evaluation.html,vmware affiliate program,Virtualization,TBD,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/pdf/agreements/eula/VMware-EULA.pdf,Virtualization
Docker Desktop,https://www.docker.com/products/docker-desktop,docker affiliate program,DevOps,TBD,https://www.docker.com/legal/docker-software-end-user-license-agreement,Container platform
Adobe Photoshop,https://www.adobe.com/products/photoshop.html,adobe affiliate program,Graphics,TBD,https://www.adobe.com/legal/licenses-terms.html,Image editor
Adobe Lightroom,https://www.adobe.com/products/photoshop-lightroom.html,adobe affiliate program,Photography,TBD,https://www.adobe.com/legal/licenses-terms.html,Photo editing
Adobe Premiere Pro,https://www.adobe.com/products/premiere.html,adobe affiliate program,Video,TBD,https://www.adobe.com/legal/licenses-terms.html,Video editor
Adobe After Effects,https://www.adobe.com/products/aftereffects.html,adobe affiliate program,Video,TBD,https://www.adobe.com/legal/licenses-terms.html,Motion graphics
Audacity,https://www.audacityteam.org/download/,audacity affiliate program,Audio,TBD,https://www.audacityteam.org/about/,Audio editor
Reaper,https://www.reaper.fm/download.php,reaper affiliate program,Audio,TBD,https://www.reaper.fm/license.php,DAW
FL Studio,https://www.image-line.com/downloads/,image-line affiliate program,Audio,TBD,https://www.image-line.com/support/terms/,Music production
Ableton Live,https://www.ableton.com/en/trial/,ableton affiliate program,Audio,TBD,https://www.ableton.com/en/legal/terms/,Music production
Logic Pro,https://www.apple.com/logic-pro/,apple affiliate program,Audio,TBD,https://www.apple.com/legal/,Apple DAW
Pro Tools,https://www.avid.com/pro-tools,avid affiliate program,Audio,TBD,https://www.avid.com/company/legal,Professional DAW
Blender,https://www.blender.org/download/,blender affiliate program,3D,TBD,https://www.blender.org/about/license/,3D creation suite
Autodesk Maya,https://www.autodesk.com/products/maya/overview,autodesk affiliate program,3D,TBD,https://www.autodesk.com/company/legal-notices-trademarks,3D modeling
Autodesk 3ds Max,https://www.autodesk.com/products/3ds-max/overview,autodesk affiliate program,3D,TBD,https://www.autodesk.com/company/legal-notices-trademarks,3D modeling
Unity,https://unity.com/download,unity affiliate program,Game Dev,TBD,https://unity.com/legal/terms,Game engine
Unreal Engine,https://www.unrealengine.com/en-US/download,epic affiliate program,Game Dev,TBD,https://www.unrealengine.com/en-US/eula,Game engine
Notion,https://www.notion.so/desktop,notion affiliate program,Productivity,TBD,https://www.notion.so/legal,Notes and docs
Evernote,https://evernote.com/download,evernote affiliate program,Productivity,TBD,https://evernote.com/terms,Notes
Trello,https://trello.com/platforms,trello affiliate program,Productivity,TBD,https://trello.com/legal,Project management
Asana,https://asana.com/download,asana affiliate program,Productivity,TBD,https://asana.com/terms,Project management
Jira,https://www.atlassian.com/software/jira/download,atlassian affiliate program,Productivity,TBD,https://www.atlassian.com/legal,Issue tracking
Confluence,https://www.atlassian.com/software/confluence/download,atlassian affiliate program,Productivity,TBD,https://www.atlassian.com/legal,Wiki
Salesforce,https://www.salesforce.com/,salesforce affiliate program,CRM,TBD,https://www.salesforce.com/company/legal/terms/,CRM platform
SAP,https://www.sap.com/products.html,sap affiliate program,ERP,TBD,https://www.sap.com/about/agreements.html,Enterprise software
QuickBooks,https://quickbooks.intuit.com/desktop/,intuit affiliate program,Accounting,TBD,https://www.intuit.com/privacy/,Accounting software
Xero,https://www.xero.com/us/download/,xero affiliate program,Accounting,TBD,https://www.xero.com/terms,Accounting software
MATLAB,https://www.mathworks.com/downloads/,mathworks affiliate program,Scientific,TBD,https://www.mathworks.com/legal/terms.html,Math software
RStudio,https://posit.co/download/rstudio-desktop/,posit affiliate program,Scientific,TBD,https://posit.co/company/legal/,R IDE
SPSS,https://www.ibm.com/analytics/spss-statistics-software,ibm affiliate program,Scientific,TBD,https://www.ibm.com/legal,Statistical software
Tableau,https://www.tableau.com/support/releases,tableau affiliate program,Analytics,TBD,https://www.tableau.com/legal,Data visualization
Power BI,https://powerbi.microsoft.com/en-us/downloads/,microsoft affiliate program,Analytics,TBD,https://powerbi.microsoft.com/en-us/terms-of-service/,Business analytics
Sublime Merge,https://www.sublimemerge.com/,sublime affiliate program,Dev Tools,TBD,https://www.sublimehq.com/eula,sublime merge git client
Eclipse,https://www.eclipse.org/downloads/,eclipse affiliate program,IDE,TBD,https://www.eclipse.org/legal/,IDE
NetBeans,https://netbeans.apache.org/download/index.html,apache affiliate program,IDE,TBD,https://www.apache.org/licenses/,IDE
IntelliJ IDEA,https://www.jetbrains.com/idea/download/,jetbrains affiliate program,IDE,TBD,https://www.jetbrains.com/legal/docs/licenses/,Java IDE
PyCharm,https://www.jetbrains.com/pycharm/download/,jetbrains affiliate program,IDE,TBD,https://www.jetbrains.com/legal/docs/licenses/,Python IDE
Android Studio,https://developer.android.com/studio,google affiliate program,IDE,TBD,https://developer.android.com/studio/terms,Android development
Xcode,https://developer.apple.com/xcode/,apple affiliate program,IDE,TBD,https://developer.apple.com/terms/,Apple development
Atom,https://atom.io/,github affiliate program,Editor,TBD,https://github.com/atom/atom/blob/master/LICENSE,Text editor
Anaconda,https://www.anaconda.com/products/distribution,anaconda affiliate program,Data Science,TBD,https://www.anaconda.com/terms,Python distribution
Jupyter,https://jupyter.org/install,jupyter affiliate program,Data Science,TBD,https://jupyter.org/about,Notebook environment
Docker (Engine),https://docs.docker.com/get-docker/,docker affiliate program,DevOps,TBD,https://www.docker.com/legal/docker-software-end-user-license-agreement,Container engine
Kubernetes kubectl,https://kubernetes.io/docs/tasks/tools/,kubernetes affiliate program,DevOps,TBD,https://kubernetes.io/docs/home/,Container orchestration
Terraform,https://www.terraform.io/downloads,hashicorp affiliate program,DevOps,TBD,https://www.hashicorp.com/legal,Infrastructure as Code
Ansible,https://www.ansible.com/resources/get-started,redhat affiliate program,DevOps,TBD,https://www.ansible.com/legal,Automation
Vagrant,https://www.vagrantup.com/downloads,vagrant affiliate program,DevOps,TBD,https://www.vagrantup.com/terms,Dev environment
Chef,https://www.chef.io/products/chef-infra,chef affiliate program,DevOps,TBD,https://www.chef.io/terms,Automation
Puppet,https://puppet.com/download-puppet-enterprise,puppet affiliate program,DevOps,TBD,https://puppet.com/legal/,Automation
Cassandra,https://cassandra.apache.org/download/,apache affiliate program,Database,TBD,https://www.apache.org/licenses/,NoSQL DB
PostgreSQL,https://www.postgresql.org/download/,postgres affiliate program,Database,TBD,https://www.postgresql.org/about/licence/,Open-source RDBMS
MySQL,https://dev.mysql.com/downloads/,oracle affiliate program,Database,TBD,https://www.mysql.com/about/legal/,RDBMS
MongoDB,https://www.mongodb.com/try/download/community,mongodb affiliate program,Database,TBD,https://www.mongodb.com/licensing/server-side-public-license,NoSQL DB
Redis,https://redis.io/download,redis affiliate program,Database,TBD,https://redis.io/topics/license,In-memory DB
MariaDB,https://mariadb.org/download/,mariadb affiliate program,Database,TBD,https://mariadb.org/about/licensing/,Fork of MySQL
Elasticsearch,https://www.elastic.co/downloads/elasticsearch,elastic affiliate program,Search,TBD,https://www.elastic.co/legal,Search engine
Kibana,https://www.elastic.co/downloads/kibana,elastic affiliate program,Analytics,TBD,https://www.elastic.co/legal,Visualization
Grafana,https://grafana.com/grafana/download,grafana affiliate program,Analytics,TBD,https://grafana.com/about/legal,Visualization
Prometheus,https://prometheus.io/download/,prometheus affiliate program,Monitoring,TBD,https://prometheus.io/about/,Monitoring system
Jenkins,https://www.jenkins.io/download/,jenkins affiliate program,CI/CD,TBD,https://www.jenkins.io/privacy/,Automation server
TeamCity,https://www.jetbrains.com/teamcity/download/,jetbrains affiliate program,CI/CD,TBD,https://www.jetbrains.com/legal/docs/licenses/,CI server
